Relationship, Support, Confidence, Lift
"{'7190', '92490', '95398'}' -> '{'88631'}", 0.021877, 0.927835, 37.422680
"{'7190', '88631', '92490'}' -> '{'95398'}", 0.021877, 0.967742, 36.525599
"{'92490', '88631', '95398'}' -> '{'7190'}", 0.021877, 0.957447, 37.513678
"{'95398'}' -> '{'7190', '12305', '88631', '92490'}", 0.021390, 0.807339, 36.498841
"{'7190'}' -> '{'12305', '92490', '88631', '95398'}", 0.021390, 0.838095, 37.477433
"{'12305'}' -> '{'7190', '92490', '88631', '95398'}", 0.021390, 0.571429, 26.120635
"{'88631'}' -> '{'7190', '12305', '92490', '95398'}", 0.021390, 0.862745, 37.361404
"{'92490'}' -> '{'7190', '12305', '88631', '95398'}", 0.021390, 0.830189, 37.123872
"{'7190', '95398'}' -> '{'12305', '88631', '92490'}", 0.021390, 0.862745, 37.361404
"{'12305', '95398'}' -> '{'7190', '88631', '92490'}", 0.021390, 0.830189, 36.724691
"{'88631', '95398'}' -> '{'7190', '12305', '92490'}", 0.021390, 0.888889, 37.315193
"{'92490', '95398'}' -> '{'7190', '12305', '88631'}", 0.021390, 0.854369, 36.998671
"{'7190', '12305'}' -> '{'92490', '88631', '95398'}", 0.021390, 0.862745, 37.758865
"{'7190', '88631'}' -> '{'12305', '92490', '95398'}", 0.021390, 0.897959, 36.576278
"{'7190', '92490'}' -> '{'12305', '88631', '95398'}", 0.021390, 0.880000, 37.711667
"{'12305', '88631'}' -> '{'7190', '92490', '95398'}", 0.021390, 0.888889, 37.699885
"{'12305', '92490'}' -> '{'7190', '88631', '95398'}", 0.021390, 0.846154, 36.642915
"{'88631', '92490'}' -> '{'7190', '12305', '95398'}", 0.021390, 0.907216, 37.699885
"{'7190', '12305', '95398'}' -> '{'88631', '92490'}", 0.021390, 0.888889, 37.699885
"{'7190', '88631', '95398'}' -> '{'12305', '92490'}", 0.021390, 0.926316, 36.642915
"{'7190', '92490', '95398'}' -> '{'12305', '88631'}", 0.021390, 0.907216, 37.699885
"{'12305', '88631', '95398'}' -> '{'7190', '92490'}", 0.021390, 0.916667, 37.711667
"{'12305', '92490', '95398'}' -> '{'7190', '88631'}", 0.021390, 0.871287, 36.576278
"{'92490', '88631', '95398'}' -> '{'7190', '12305'}", 0.021390, 0.936170, 37.758865
"{'7190', '12305', '88631'}' -> '{'92490', '95398'}", 0.021390, 0.926316, 36.998671
"{'7190', '12305', '92490'}' -> '{'88631', '95398'}", 0.021390, 0.897959, 37.315193
"{'7190', '88631', '92490'}' -> '{'12305', '95398'}", 0.021390, 0.946237, 36.724691
"{'12305', '88631', '92490'}' -> '{'7190', '95398'}", 0.021390, 0.926316, 37.361404
"{'7190', '12305', '88631', '95398'}' -> '{'92490'}", 0.021390, 0.956522, 37.123872
"{'7190', '12305', '92490', '95398'}' -> '{'88631'}", 0.021390, 0.926316, 37.361404
"{'7190', '92490', '88631', '95398'}' -> '{'12305'}", 0.021390, 0.977778, 26.120635
"{'12305', '92490', '88631', '95398'}' -> '{'7190'}", 0.021390, 0.956522, 37.477433
"{'7190', '12305', '88631', '92490'}' -> '{'95398'}", 0.021390, 0.967033, 36.498841
"{'7190'}' -> '{'92490', '88631', '51657'}", 0.021877, 0.857143, 37.513678
"{'51657'}' -> '{'7190', '88631', '92490'}", 0.021877, 0.841121, 37.208321
"{'88631'}' -> '{'7190', '92490', '51657'}", 0.021877, 0.882353, 37.422680
"{'92490'}' -> '{'7190', '88631', '51657'}", 0.021877, 0.849057, 37.159775
"{'7190', '51657'}' -> '{'88631', '92490'}", 0.021877, 0.891089, 37.793202
"{'7190', '88631'}' -> '{'92490', '51657'}", 0.021877, 0.918367, 36.681197
"{'7190', '92490'}' -> '{'88631', '51657'}", 0.021877, 0.900000, 37.781633
"{'88631', '51657'}' -> '{'7190', '92490'}", 0.021877, 0.918367, 37.781633
"{'92490', '51657'}' -> '{'7190', '88631'}", 0.021877, 0.873786, 36.681197
"{'88631', '92490'}' -> '{'7190', '51657'}", 0.021877, 0.927835, 37.793202
"{'7190', '88631', '51657'}' -> '{'92490'}", 0.021877, 0.957447, 37.159775
"{'7190', '92490', '51657'}' -> '{'88631'}", 0.021877, 0.927835, 37.422680
"{'7190', '88631', '92490'}' -> '{'51657'}", 0.021877, 0.967742, 37.208321
"{'92490', '88631', '51657'}' -> '{'7190'}", 0.021877, 0.957447, 37.513678
"{'51657'}' -> '{'7190', '12305', '88631', '92490'}", 0.021390, 0.822430, 37.181062
"{'7190'}' -> '{'12305', '92490', '88631', '51657'}", 0.021390, 0.838095, 37.477433
"{'12305'}' -> '{'7190', '92490', '88631', '51657'}", 0.021390, 0.571429, 26.120635
"{'88631'}' -> '{'7190', '12305', '92490', '51657'}", 0.021390, 0.862745, 37.361404
"{'92490'}' -> '{'7190', '12305', '88631', '51657'}", 0.021390, 0.830189, 37.531827
"{'7190', '51657'}' -> '{'12305', '88631', '92490'}", 0.021390, 0.871287, 37.731318
"{'12305', '51657'}' -> '{'7190', '88631', '92490'}", 0.021390, 0.846154, 37.430935
"{'88631', '51657'}' -> '{'7190', '12305', '92490'}", 0.021390, 0.897959, 37.695960
"{'92490', '51657'}' -> '{'7190', '12305', '88631'}", 0.021390, 0.854369, 36.998671
"{'7190', '12305'}' -> '{'92490', '88631', '51657'}", 0.021390, 0.862745, 37.758865
"{'7190', '88631'}' -> '{'12305', '92490', '51657'}", 0.021390, 0.897959, 36.576278
"{'7190', '92490'}' -> '{'12305', '88631', '51657'}", 0.021390, 0.880000, 38.108632
"{'12305', '88631'}' -> '{'7190', '92490', '51657'}", 0.021390, 0.888889, 37.699885
"{'12305', '92490'}' -> '{'7190', '88631', '51657'}", 0.021390, 0.846154, 37.032733
"{'88631', '92490'}' -> '{'7190', '12305', '51657'}", 0.021390, 0.907216, 38.084578
"{'7190', '12305', '51657'}' -> '{'88631', '92490'}", 0.021390, 0.897959, 38.084578
"{'7190', '88631', '51657'}' -> '{'12305', '92490'}", 0.021390, 0.936170, 37.032733
"{'7190', '92490', '51657'}' -> '{'12305', '88631'}", 0.021390, 0.907216, 37.699885
"{'12305', '88631', '51657'}' -> '{'7190', '92490'}", 0.021390, 0.926316, 38.108632
"{'12305', '92490', '51657'}' -> '{'7190', '88631'}", 0.021390, 0.871287, 36.576278
"{'92490', '88631', '51657'}' -> '{'7190', '12305'}", 0.021390, 0.936170, 37.758865
"{'7190', '12305', '88631'}' -> '{'92490', '51657'}", 0.021390, 0.926316, 36.998671
"{'7190', '12305', '92490'}' -> '{'88631', '51657'}", 0.021390, 0.897959, 37.695960
"{'7190', '88631', '92490'}' -> '{'12305', '51657'}", 0.021390, 0.946237, 37.430935
"{'12305', '88631', '92490'}' -> '{'7190', '51657'}", 0.021390, 0.926316, 37.731318
"{'7190', '12305', '88631', '51657'}' -> '{'92490'}", 0.021390, 0.967033, 37.531827
"{'7190', '12305', '92490', '51657'}' -> '{'88631'}", 0.021390, 0.926316, 37.361404
"{'7190', '92490', '88631', '51657'}' -> '{'12305'}", 0.021390, 0.977778, 26.120635
"{'12305', '92490', '88631', '51657'}' -> '{'7190'}", 0.021390, 0.956522, 37.477433
"{'7190', '12305', '88631', '92490'}' -> '{'51657'}", 0.021390, 0.967033, 37.181062
"{'51657'}' -> '{'95398', '7190', '12305', '88631', '92490'}", 0.020904, 0.803738, 37.574766
"{'95398'}' -> '{'51657', '7190', '12305', '88631', '92490'}", 0.020904, 0.788991, 36.885321
"{'7190'}' -> '{'51657', '95398', '12305', '88631', '92490'}", 0.020904, 0.819048, 37.439577
"{'12305'}' -> '{'51657', '95398', '7190', '88631', '92490'}", 0.020904, 0.558442, 26.107143
"{'88631'}' -> '{'51657', '95398', '7190', '12305', '92490'}", 0.020904, 0.843137, 37.297491
"{'92490'}' -> '{'51657', '95398', '7190', '12305', '88631'}", 0.020904, 0.811321, 37.503074
"{'95398', '51657'}' -> '{'7190', '12305', '88631', '92490'}", 0.020904, 0.819048, 37.028153
"{'7190', '51657'}' -> '{'12305', '92490', '88631', '95398'}", 0.020904, 0.851485, 38.076195
"{'12305', '51657'}' -> '{'7190', '92490', '88631', '95398'}", 0.020904, 0.826923, 37.799573
"{'88631', '51657'}' -> '{'7190', '12305', '92490', '95398'}", 0.020904, 0.877551, 38.002578
"{'92490', '51657'}' -> '{'7190', '12305', '88631', '95398'}", 0.020904, 0.834951, 37.336851
"{'7190', '95398'}' -> '{'12305', '92490', '88631', '51657'}", 0.020904, 0.843137, 37.702899
"{'12305', '95398'}' -> '{'7190', '92490', '88631', '51657'}", 0.020904, 0.811321, 37.086373
"{'88631', '95398'}' -> '{'7190', '12305', '92490', '51657'}", 0.020904, 0.868687, 37.618713
"{'92490', '95398'}' -> '{'7190', '12305', '88631', '51657'}", 0.020904, 0.834951, 37.747146
"{'7190', '12305'}' -> '{'95398', '92490', '88631', '51657'}", 0.020904, 0.843137, 37.702899
"{'7190', '88631'}' -> '{'12305', '95398', '92490', '51657'}", 0.020904, 0.877551, 36.467120
"{'7190', '92490'}' -> '{'12305', '95398', '88631', '51657'}", 0.020904, 0.860000, 38.043441
"{'12305', '88631'}' -> '{'7190', '95398', '92490', '51657'}", 0.020904, 0.868687, 37.618713
"{'12305', '92490'}' -> '{'7190', '95398', '88631', '51657'}", 0.020904, 0.826923, 36.977843
"{'88631', '92490'}' -> '{'7190', '12305', '95398', '51657'}", 0.020904, 0.886598, 37.994416
"{'7190', '95398', '51657'}' -> '{'12305', '88631', '92490'}", 0.020904, 0.868687, 37.618713
"{'12305', '95398', '51657'}' -> '{'7190', '88631', '92490'}", 0.020904, 0.843137, 37.297491
"{'95398', '88631', '51657'}' -> '{'7190', '12305', '92490'}", 0.020904, 0.895833, 37.606718
"{'95398', '92490', '51657'}' -> '{'7190', '12305', '88631'}", 0.020904, 0.851485, 36.873788
"{'7190', '12305', '51657'}' -> '{'92490', '88631', '95398'}", 0.020904, 0.877551, 38.406861
"{'7190', '88631', '51657'}' -> '{'12305', '92490', '95398'}", 0.020904, 0.914894, 37.266063
"{'7190', '92490', '51657'}' -> '{'12305', '88631', '95398'}", 0.020904, 0.886598, 37.994416
"{'12305', '88631', '51657'}' -> '{'7190', '92490', '95398'}", 0.020904, 0.905263, 38.394357
"{'12305', '92490', '51657'}' -> '{'7190', '88631', '95398'}", 0.020904, 0.851485, 36.873788
"{'92490', '88631', '51657'}' -> '{'7190', '12305', '95398'}", 0.020904, 0.914894, 38.018913
"{'7190', '12305', '95398'}' -> '{'92490', '88631', '51657'}", 0.020904, 0.868687, 38.018913
"{'7190', '88631', '95398'}' -> '{'12305', '92490', '51657'}", 0.020904, 0.905263, 36.873788
"{'7190', '92490', '95398'}' -> '{'12305', '88631', '51657'}", 0.020904, 0.886598, 38.394357
"{'12305', '88631', '95398'}' -> '{'7190', '92490', '51657'}", 0.020904, 0.895833, 37.994416
"{'12305', '92490', '95398'}' -> '{'7190', '88631', '51657'}", 0.020904, 0.851485, 37.266063
"{'92490', '88631', '95398'}' -> '{'7190', '12305', '51657'}", 0.020904, 0.914894, 38.406861
"{'7190', '12305', '88631'}' -> '{'95398', '92490', '51657'}", 0.020904, 0.905263, 36.873788
"{'7190', '12305', '92490'}' -> '{'95398', '88631', '51657'}", 0.020904, 0.877551, 37.606718
"{'7190', '88631', '92490'}' -> '{'12305', '95398', '51657'}", 0.020904, 0.924731, 37.297491
"{'12305', '88631', '92490'}' -> '{'7190', '95398', '51657'}", 0.020904, 0.905263, 37.618713
"{'7190', '12305', '95398', '51657'}' -> '{'88631', '92490'}", 0.020904, 0.895833, 37.994416
"{'7190', '95398', '88631', '51657'}' -> '{'12305', '92490'}", 0.020904, 0.934783, 36.977843
"{'7190', '95398', '92490', '51657'}' -> '{'12305', '88631'}", 0.020904, 0.905263, 37.618713
"{'12305', '95398', '88631', '51657'}' -> '{'7190', '92490'}", 0.020904, 0.924731, 38.043441
"{'12305', '95398', '92490', '51657'}' -> '{'7190', '88631'}", 0.020904, 0.868687, 36.467120
"{'95398', '92490', '88631', '51657'}' -> '{'7190', '12305'}", 0.020904, 0.934783, 37.702899
"{'7190', '12305', '88631', '51657'}' -> '{'92490', '95398'}", 0.020904, 0.945055, 37.747146
"{'7190', '12305', '92490', '51657'}' -> '{'88631', '95398'}", 0.020904, 0.905263, 37.618713
"{'7190', '92490', '88631', '51657'}' -> '{'12305', '95398'}", 0.020904, 0.955556, 37.086373
"{'12305', '92490', '88631', '51657'}' -> '{'7190', '95398'}", 0.020904, 0.934783, 37.702899
"{'7190', '12305', '88631', '95398'}' -> '{'92490', '51657'}", 0.020904, 0.934783, 37.336851
"{'7190', '12305', '92490', '95398'}' -> '{'88631', '51657'}", 0.020904, 0.905263, 38.002578
"{'7190', '92490', '88631', '95398'}' -> '{'12305', '51657'}", 0.020904, 0.955556, 37.799573
"{'12305', '92490', '88631', '95398'}' -> '{'7190', '51657'}", 0.020904, 0.934783, 38.076195
"{'7190', '12305', '88631', '92490'}' -> '{'95398', '51657'}", 0.020904, 0.945055, 37.028153
"{'95398', '51657', '7190', '12305', '88631'}' -> '{'92490'}", 0.020904, 0.966292, 37.503074
"{'95398', '51657', '7190', '12305', '92490'}' -> '{'88631'}", 0.020904, 0.924731, 37.297491
"{'95398', '51657', '7190', '88631', '92490'}' -> '{'12305'}", 0.020904, 0.977273, 26.107143
"{'95398', '51657', '12305', '88631', '92490'}' -> '{'7190'}", 0.020904, 0.955556, 37.439577
"{'51657', '7190', '12305', '88631', '92490'}' -> '{'95398'}", 0.020904, 0.977273, 36.885321
"{'95398', '7190', '12305', '88631', '92490'}' -> '{'51657'}", 0.020904, 0.977273, 37.574766
"{'95398'}' -> '{'7190', '92490', '88631', '51657'}", 0.021390, 0.807339, 36.904383
"{'51657'}' -> '{'7190', '92490', '88631', '95398'}", 0.021390, 0.822430, 37.594185
"{'7190'}' -> '{'51657', '92490', '88631', '95398'}", 0.021390, 0.838095, 37.477433
"{'88631'}' -> '{'51657', '7190', '92490', '95398'}", 0.021390, 0.862745, 37.361404
"{'92490'}' -> '{'51657', '7190', '88631', '95398'}", 0.021390, 0.830189, 37.123872
"{'51657', '95398'}' -> '{'7190', '88631', '92490'}", 0.021390, 0.838095, 37.074450
"{'7190', '95398'}' -> '{'92490', '88631', '51657'}", 0.021390, 0.862745, 37.758865
"{'88631', '95398'}' -> '{'7190', '92490', '51657'}", 0.021390, 0.888889, 37.699885
"{'92490', '95398'}' -> '{'7190', '88631', '51657'}", 0.021390, 0.854369, 37.392274
"{'7190', '51657'}' -> '{'92490', '88631', '95398'}", 0.021390, 0.871287, 38.132715
"{'88631', '51657'}' -> '{'7190', '92490', '95398'}", 0.021390, 0.897959, 38.084578
"{'92490', '51657'}' -> '{'7190', '88631', '95398'}", 0.021390, 0.854369, 36.998671
"{'7190', '88631'}' -> '{'51657', '92490', '95398'}", 0.021390, 0.897959, 36.576278
"{'7190', '92490'}' -> '{'51657', '88631', '95398'}", 0.021390, 0.880000, 37.711667
"{'88631', '92490'}' -> '{'51657', '7190', '95398'}", 0.021390, 0.907216, 37.699885
"{'51657', '7190', '95398'}' -> '{'88631', '92490'}", 0.021390, 0.888889, 37.699885
"{'51657', '88631', '95398'}' -> '{'7190', '92490'}", 0.021390, 0.916667, 37.711667
"{'51657', '92490', '95398'}' -> '{'7190', '88631'}", 0.021390, 0.871287, 36.576278
"{'7190', '88631', '95398'}' -> '{'92490', '51657'}", 0.021390, 0.926316, 36.998671
"{'7190', '92490', '95398'}' -> '{'88631', '51657'}", 0.021390, 0.907216, 38.084578
"{'92490', '88631', '95398'}' -> '{'7190', '51657'}", 0.021390, 0.936170, 38.132715
"{'7190', '88631', '51657'}' -> '{'92490', '95398'}", 0.021390, 0.936170, 37.392274
"{'7190', '92490', '51657'}' -> '{'88631', '95398'}", 0.021390, 0.907216, 37.699885
"{'92490', '88631', '51657'}' -> '{'7190', '95398'}", 0.021390, 0.936170, 37.758865
"{'7190', '88631', '92490'}' -> '{'51657', '95398'}", 0.021390, 0.946237, 37.074450
"{'51657', '7190', '88631', '95398'}' -> '{'92490'}", 0.021390, 0.956522, 37.123872
"{'51657', '7190', '92490', '95398'}' -> '{'88631'}", 0.021390, 0.926316, 37.361404
"{'51657', '92490', '88631', '95398'}' -> '{'7190'}", 0.021390, 0.956522, 37.477433
"{'7190', '92490', '88631', '95398'}' -> '{'51657'}", 0.021390, 0.977778, 37.594185
"{'7190', '92490', '88631', '51657'}' -> '{'95398'}", 0.021390, 0.977778, 36.904383
"{'7190'}' -> '{'12305', '88631', '92490'}", 0.022120, 0.866667, 37.531228
"{'12305'}' -> '{'7190', '88631', '92490'}", 0.022120, 0.590909, 26.139785
"{'88631'}' -> '{'7190', '12305', '92490'}", 0.022120, 0.892157, 37.452381
"{'92490'}' -> '{'7190', '12305', '88631'}", 0.022120, 0.858491, 37.177160
"{'7190', '12305'}' -> '{'88631', '92490'}", 0.022120, 0.892157, 37.838488
"{'7190', '88631'}' -> '{'12305', '92490'}", 0.022120, 0.928571, 36.732143
"{'7190', '92490'}' -> '{'12305', '88631'}", 0.022120, 0.910000, 37.815556
"{'12305', '88631'}' -> '{'7190', '92490'}", 0.022120, 0.919192, 37.815556
"{'12305', '92490'}' -> '{'7190', '88631'}", 0.022120, 0.875000, 36.732143
"{'88631', '92490'}' -> '{'7190', '12305'}", 0.022120, 0.938144, 37.838488
"{'7190', '12305', '88631'}' -> '{'92490'}", 0.022120, 0.957895, 37.177160
"{'7190', '12305', '92490'}' -> '{'88631'}", 0.022120, 0.928571, 37.452381
"{'7190', '88631', '92490'}' -> '{'12305'}", 0.022120, 0.978495, 26.139785
"{'12305', '88631', '92490'}' -> '{'7190'}", 0.022120, 0.957895, 37.531228
"{'95398'}' -> '{'88631', '92490'}", 0.022849, 0.862385, 36.575806
"{'88631'}' -> '{'92490', '95398'}", 0.022849, 0.921569, 36.809061
"{'92490'}' -> '{'88631', '95398'}", 0.022849, 0.886792, 36.851153
"{'88631', '95398'}' -> '{'92490'}", 0.022849, 0.949495, 36.851153
"{'92490', '95398'}' -> '{'88631'}", 0.022849, 0.912621, 36.809061
"{'88631', '92490'}' -> '{'95398'}", 0.022849, 0.969072, 36.575806
"{'12305'}' -> '{'92490', '88631', '95398'}", 0.022363, 0.597403, 26.145897
"{'95398'}' -> '{'12305', '88631', '92490'}", 0.022363, 0.844037, 36.551231
"{'88631'}' -> '{'12305', '92490', '95398'}", 0.022363, 0.901961, 36.739274
"{'92490'}' -> '{'12305', '88631', '95398'}", 0.022363, 0.867925, 37.194182
"{'12305', '95398'}' -> '{'88631', '92490'}", 0.022363, 0.867925, 36.810737
"{'12305', '88631'}' -> '{'92490', '95398'}", 0.022363, 0.929293, 37.117584
"{'12305', '92490'}' -> '{'88631', '95398'}", 0.022363, 0.884615, 36.760684
"{'88631', '95398'}' -> '{'12305', '92490'}", 0.022363, 0.929293, 36.760684
"{'92490', '95398'}' -> '{'12305', '88631'}", 0.022363, 0.893204, 37.117584
"{'88631', '92490'}' -> '{'12305', '95398'}", 0.022363, 0.948454, 36.810737
"{'12305', '88631', '95398'}' -> '{'92490'}", 0.022363, 0.958333, 37.194182
"{'12305', '92490', '95398'}' -> '{'88631'}", 0.022363, 0.910891, 36.739274
"{'12305', '88631', '92490'}' -> '{'95398'}", 0.022363, 0.968421, 36.551231
"{'92490', '88631', '95398'}' -> '{'12305'}", 0.022363, 0.978723, 26.145897
"{'51657'}' -> '{'88631', '92490'}", 0.022849, 0.878505, 37.259466
"{'88631'}' -> '{'92490', '51657'}", 0.022849, 0.921569, 36.809061
"{'92490'}' -> '{'88631', '51657'}", 0.022849, 0.886792, 37.227185
"{'88631', '51657'}' -> '{'92490'}", 0.022849, 0.959184, 37.227185
"{'92490', '51657'}' -> '{'88631'}", 0.022849, 0.912621, 36.809061
"{'88631', '92490'}' -> '{'51657'}", 0.022849, 0.969072, 37.259466
"{'51657'}' -> '{'12305', '88631', '92490'}", 0.022363, 0.859813, 37.234432
"{'12305'}' -> '{'92490', '88631', '51657'}", 0.022363, 0.597403, 26.145897
"{'88631'}' -> '{'12305', '92490', '51657'}", 0.022363, 0.901961, 36.739274
"{'92490'}' -> '{'12305', '88631', '51657'}", 0.022363, 0.867925, 37.585700
"{'12305', '51657'}' -> '{'88631', '92490'}", 0.022363, 0.884615, 37.518636
"{'88631', '51657'}' -> '{'12305', '92490'}", 0.022363, 0.938776, 37.135793
"{'92490', '51657'}' -> '{'12305', '88631'}", 0.022363, 0.893204, 37.117584
"{'12305', '88631'}' -> '{'92490', '51657'}", 0.022363, 0.929293, 37.117584
"{'12305', '92490'}' -> '{'88631', '51657'}", 0.022363, 0.884615, 37.135793
"{'88631', '92490'}' -> '{'12305', '51657'}", 0.022363, 0.948454, 37.518636
"{'12305', '88631', '51657'}' -> '{'92490'}", 0.022363, 0.968421, 37.585700
"{'12305', '92490', '51657'}' -> '{'88631'}", 0.022363, 0.910891, 36.739274
"{'92490', '88631', '51657'}' -> '{'12305'}", 0.022363, 0.978723, 26.145897
"{'12305', '88631', '92490'}' -> '{'51657'}", 0.022363, 0.968421, 37.234432
"{'95398'}' -> '{'12305', '92490', '88631', '51657'}", 0.021877, 0.825688, 36.922617
"{'51657'}' -> '{'12305', '92490', '88631', '95398'}", 0.021877, 0.841121, 37.612759
"{'12305'}' -> '{'51657', '92490', '88631', '95398'}", 0.021877, 0.584416, 26.133540
"{'88631'}' -> '{'51657', '12305', '92490', '95398'}", 0.021877, 0.882353, 36.666667
"{'92490'}' -> '{'51657', '12305', '88631', '95398'}", 0.021877, 0.849057, 37.559343
"{'51657', '95398'}' -> '{'12305', '88631', '92490'}", 0.021877, 0.857143, 37.118797
"{'12305', '95398'}' -> '{'92490', '88631', '51657'}", 0.021877, 0.849057, 37.159775
"{'88631', '95398'}' -> '{'12305', '92490', '51657'}", 0.021877, 0.909091, 37.029703
"{'92490', '95398'}' -> '{'12305', '88631', '51657'}", 0.021877, 0.873786, 37.839550
"{'12305', '51657'}' -> '{'92490', '88631', '95398'}", 0.021877, 0.865385, 37.874386
"{'88631', '51657'}' -> '{'12305', '92490', '95398'}", 0.021877, 0.918367, 37.407557
"{'92490', '51657'}' -> '{'12305', '88631', '95398'}", 0.021877, 0.873786, 37.445388
"{'12305', '88631'}' -> '{'51657', '92490', '95398'}", 0.021877, 0.909091, 37.029703
"{'12305', '92490'}' -> '{'51657', '88631', '95398'}", 0.021877, 0.865385, 37.085337
"{'88631', '92490'}' -> '{'51657', '12305', '95398'}", 0.021877, 0.927835, 37.422680
